hdbscan_final,leiden_target5_final,true_label
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
11,3,macrophage
4,0,B cell
2,1,T cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
7,2,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
5,8,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
0,5,macrophage
4,0,B cell
2,1,T cell
7,2,T cell
9,4,natural killer cell
7,2,T cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
2,1,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
9,4,natural killer cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
18,3,macrophage
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
10,3,macrophage
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
9,4,natural killer cell
4,0,B cell
15,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
2,1,T cell
8,6,T cell
18,3,macrophage
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
17,3,macrophage
6,0,B cell
4,0,B cell
16,3,macrophage
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
11,3,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
3,7,dendritic cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
0,5,macrophage
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
11,3,B cell
4,0,B cell
4,0,B cell
7,2,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
3,7,dendritic cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
8,6,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,B cell
4,0,B cell
4,0,B cell
9,4,T cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,T cell
4,0,B cell
15,3,macrophage
4,0,B cell
2,1,T cell
7,2,T cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
9,4,natural killer cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,B cell
7,2,T cell
4,0,B cell
2,1,T cell
18,3,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
18,3,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
15,3,macrophage
2,1,T cell
7,2,T cell
2,1,B cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
9,4,natural killer cell
4,0,B cell
7,2,T cell
2,1,T cell
4,0,B cell
2,1,T cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
18,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
6,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
12,3,macrophage
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
17,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
9,4,natural killer cell
7,2,T cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
10,3,macrophage
2,1,T cell
4,0,B cell
8,6,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
18,3,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
18,3,macrophage
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
8,6,T cell
4,0,B cell
2,1,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
2,1,T cell
9,4,natural killer cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
0,5,macrophage
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
18,3,macrophage
7,2,T cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
9,4,natural killer cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
3,7,dendritic cell
5,8,B cell
2,1,T cell
12,3,macrophage
4,0,B cell
4,0,B cell
8,6,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
8,6,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
8,6,T cell
9,4,natural killer cell
4,0,B cell
8,6,T cell
17,3,macrophage
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
4,0,B cell
2,1,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
0,5,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,T cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
2,1,T cell
4,0,B cell
7,2,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
18,3,B cell
2,1,T cell
2,1,B cell
4,0,B cell
2,1,T cell
4,0,B cell
18,3,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
18,3,macrophage
2,1,T cell
4,0,B cell
5,8,B cell
5,8,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
4,0,B cell
7,2,T cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
10,3,macrophage
11,3,B cell
7,2,B cell
18,3,macrophage
4,0,B cell
8,6,T cell
8,6,T cell
16,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
7,2,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
17,3,macrophage
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
4,0,B cell
2,1,T cell
7,2,T cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
0,5,macrophage
9,4,natural killer cell
4,0,B cell
2,1,T cell
4,0,B cell
4,0,B cell
7,2,T cell
3,7,dendritic cell
4,0,B cell
6,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
2,1,T cell
2,1,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
2,1,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
5,8,B cell
4,0,B cell
2,1,T cell
7,2,T cell
17,3,macrophage
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
8,6,T cell
4,0,B cell
4,0,B cell
4,0,B cell
4,0,B cell
7,2,T cell
15,3,macrophage
